date,resolution_ms,source,target,lag_ms,n_impulses,response_return,response_signed_notional,p_return,p_flow,q_return,q_flow,significant
2024-03-05,100,BTCUSDT,SOLUSDT,1000,551,5.773594110812799e-05,3755.0377876588004,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,SOLUSDT,2000,551,5.5088387496520526e-05,2983.4427989110754,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,SOLUSDT,5000,551,4.984515326109827e-05,-5274.870751905629,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,BTCUSDT,10,452,1.744840575927922e-05,11097.863855530955,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,BTCUSDT,25,452,1.744840575927922e-05,11097.863855530955,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,BTCUSDT,50,452,1.744840575927922e-05,11097.863855530955,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,BTCUSDT,100,452,1.744840575927922e-05,11097.863855530955,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,BTCUSDT,250,452,3.216080116153127e-05,23119.962801769863,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,BTCUSDT,500,452,3.396259652268667e-05,26048.01582477877,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,BTCUSDT,1000,452,4.10146286910579e-05,33283.359207300855,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,BTCUSDT,2000,452,4.856093523498174e-05,118533.77749247791,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,BTCUSDT,5000,452,2.9130861646248574e-05,131056.43780000007,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,ETHUSDT,10,452,2.221083485903234e-05,2624.733444690269,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,ETHUSDT,25,452,2.221083485903234e-05,2624.733444690269,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,ETHUSDT,50,452,2.221083485903234e-05,2624.733444690269,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,ETHUSDT,100,452,2.221083485903234e-05,2624.733444690269,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,ETHUSDT,250,452,2.9932294851707913e-05,2020.7692214601807,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,ETHUSDT,500,452,3.7538219112007976e-05,1342.6316876106243,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,ETHUSDT,1000,452,4.3975108123990025e-05,-3133.6065659292085,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,ETHUSDT,2000,452,5.5306131024349975e-05,4914.1310902655,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,ETHUSDT,5000,452,4.484212298822354e-05,23311.72434778762,0.01,0.01,0.01,0.01,True
