t_ms,signed_notional,notional,return,idx,z_flow,z_activity,direction,symbol,date,resolution_ms
1709600150400,-474995.0121999999,482984.44499999995,-0.00046264520110383955,67008,-180.53431486644124,24.0037582831631,-1,SOLUSDT,2024-03-05,50
1709600152350,23113.135699999995,23113.135699999995,9.859801219214148e-05,67047,8.784753546543838,18.429042930059396,1,SOLUSDT,2024-03-05,50
1709600156250,16587.140900000002,16587.140900000002,6.82565384346745e-05,67125,6.304378027266003,17.820580534231798,1,SOLUSDT,2024-03-05,50
1709600157450,-37234.375700000004,37234.375700000004,-0.00013650531254327802,67149,-14.151901249120465,19.303552060043597,-1,SOLUSDT,2024-03-05,50
1709600159500,18423.189199999993,18423.189199999993,0.00017440427713832918,67190,7.002216348487416,18.013113979323833,1,SOLUSDT,2024-03-05,50
1709600163700,33903.980899999995,33903.980899999995,0.00017441750285929203,67274,12.886097339584676,19.13170513284131,1,SOLUSDT,2024-03-05,50
1709600179600,-105069.1838,105069.1838,-0.00013649289120643004,67592,-39.93429956886017,21.20615387713599,-1,SOLUSDT,2024-03-05,50
1709600192700,50158.15930000001,50158.15930000001,0.00018954830695339098,67854,19.06392423416551,19.84999656224852,1,SOLUSDT,2024-03-05,50
1709600251200,122494.4796,122494.4796,0.000386561314574152,69024,46.557240353075166,21.48758292475947,1,SOLUSDT,2024-03-05,50
1709600256400,-66094.5094,66094.5094,8.331092779112481e-05,69128,-25.120952145784578,20.356014265382484,-1,SOLUSDT,2024-03-05,50
1709600259800,67642.9306,67880.67460000001,3.7856561493576635e-05,69196,25.709470242368237,20.40492014029337,1,SOLUSDT,2024-03-05,50
1709600263100,-29844.931600000004,29844.931600000004,-0.0001590132097888386,69262,-11.343349172629068,18.897837380245154,-1,SOLUSDT,2024-03-05,50
1709600283350,-49277.95330000001,49383.57010000001,-0.00015905295360862937,69667,-18.72937885354071,19.821452826135733,-1,SOLUSDT,2024-03-05,50
1709600293650,-23611.392099999997,23611.392099999997,-8.334248842789549e-05,69873,-8.974128962056508,18.468158562713654,-1,SOLUSDT,2024-03-05,50
1709600297050,-23647.2782,23647.2782,-7.577967816807529e-06,69941,-8.98776841575671,18.47094385637979,-1,SOLUSDT,2024-03-05,50
1709600331000,75215.49839999998,75215.49839999998,9.091873386779525e-05,70620,28.58762328490385,20.593103359783992,1,SOLUSDT,2024-03-05,50
1709600380800,17366.8084,17366.8084,3.788926483938582e-05,71616,6.600711113552947,17.904819769646235,1,SOLUSDT,2024-03-05,50
1709596802600,-784411.9745000001,784411.9745000001,-6.87683946569706e-05,26,-35.31399388937403,12.329117848857225,-1,BTCUSDT,2024-03-05,100
