idx,t_ms,kind,direction,score,spread,depth,imbalance,signed_flow
32211,1704067232249,top_depth,1,35.46365860228877,0.09999999999854481,0.604,0.9900662251639237,0.0
34255,1704067234293,bbo_imbalance,-1,40.73841883058416,0.09999999999854481,3.83,-0.39477806788501435,0.0
34616,1704067234654,top_depth,1,36.095744625889346,0.09999999999854481,0.764,0.9659685863861702,0.0
34716,1704067234754,top_depth,-1,6.950040116969074,0.09999999999854481,20.865000000000002,0.7288281811645948,0.0
37840,1704067237878,top_depth,1,22.86407719851732,0.09999999999854481,4.518,-0.9986719787514389,-253.935
37968,1704067238006,top_depth,-1,16.514155536139143,0.09999999999854481,27.847,-0.9968398750313859,0.0
38599,1704067238637,trade_flow,1,8.94995401661456,0.09999999999854481,19.584,-0.6902573529411412,113210.0125
38951,1704067238989,trade_flow,1,15.129604509581696,0.09999999999854481,11.471,-0.25568825734458583,191377.823
39162,1704067239200,bbo_imbalance,1,12.13377745759397,0.09999999999854481,6.2170000000000005,0.6027022679748105,0.0
39327,1704067239365,top_depth,-1,13.58621682911579,0.10000000000582077,11.764,0.9976198571913468,0.0
40011,1704067240049,bbo_imbalance,-1,7.389417090081208,0.10000000000582077,13.414000000000001,0.29342478008049105,0.0
