idx,timestamp_us,kind,direction,score
3842,1704067584400000,imbalance_change,1,71.2721098274461
3860,1704067586200000,signed_liquidity_delta,-1,31.1418591260582
3870,1704067587200000,imbalance_change,-1,6.910478679142691
3904,1704067590600000,imbalance_change,-1,6.502740058417352
3939,1704067594100000,signed_liquidity_delta,1,52.22008659564117
3950,1704067595200000,imbalance_change,1,40.917641311127156
3962,1704067596400000,imbalance_change,-1,18.86552818297511
3972,1704067597400000,imbalance_change,-1,10.502408513089483
3984,1704067598600000,imbalance_change,-1,8.587141937320988
4013,1704067601500000,imbalance_change,-1,13.894438639373066
4038,1704067604000000,imbalance_change,1,16.865234024003506
4061,1704067606300000,imbalance_change,-1,56.14002593043656
4089,1704067609100000,imbalance_change,1,10.383377666374143
4106,1704067610800000,imbalance_change,1,36.06319908172679
4126,1704067612800000,signed_liquidity_delta,1,70.90029858083597
4145,1704067614700000,signed_liquidity_delta,-1,26.194028612805685
4174,1704067617600000,signed_liquidity_delta,-1,36.00831256392143
4194,1704067619600000,imbalance_change,1,12.306127628300686
4206,1704067620800000,imbalance_change,1,6.974682403567316
4227,1704067622900000,removed_liquidity,-1,9.382465012627666
4240,1704067624200000,imbalance_change,-1,32.142074626810725
4271,1704067627300000,imbalance_change,-1,6.794908292551281
4292,1704067629400000,imbalance_change,1,10.742337057365532
4322,1704067632400000,imbalance_change,1,30.313054178294028
4354,1704067635600000,imbalance_change,-1,39.865461379248586
4364,1704067636600000,removed_liquidity,-1,8.440494241674111
4384,1704067638600000,signed_liquidity_delta,-1,8.275422589587553
4411,1704067641300000,imbalance_change,1,9.151126813521246
4431,1704067643300000,imbalance_change,1,15.48892574813343
4453,1704067645500000,imbalance_change,1,13.194999568757677
4464,1704067646600000,imbalance_change,1,11.882977417523762
4481,1704067648300000,imbalance_change,-1,9.019585832912265
4495,1704067649700000,imbalance_change,1,9.947765601297615
4510,1704067651200000,imbalance_change,1,7.247099880964962
4524,1704067652600000,imbalance_change,1,9.188741535454252
4537,1704067653900000,signed_liquidity_delta,-1,46.322856869513636
4554,1704067655600000,signed_liquidity_delta,-1,20.899823881229533
4572,1704067657400000,imbalance_change,-1,18.37975575035694
4592,1704067659400000,imbalance_change,1,46.801645011938554
4608,1704067661000000,imbalance_change,1,29.28555010608127
4629,1704067663100000,imbalance_change,-1,19.472453183160116
4639,1704067664100000,imbalance_change,-1,6.217375383056538
4666,1704067666800000,imbalance_change,-1,17.430027701064905
4720,1704067672200000,imbalance_change,-1,22.499514382832185
4738,1704067674000000,imbalance_change,1,9.723854223385143
4754,1704067675600000,signed_liquidity_delta,-1,28.77931570017305
4783,1704067678500000,imbalance_change,1,21.83815987587748
4805,1704067680700000,signed_liquidity_delta,1,24.958766340229833
4819,1704067682100000,imbalance_change,-1,11.394116336523599
4858,1704067686000000,signed_liquidity_delta,-1,31.438155144142275
4871,1704067687300000,signed_liquidity_delta,1,8.64474931635432
4888,1704067689000000,signed_liquidity_delta,-1,13.93843240001131
4916,1704067691800000,imbalance_change,1,10.040482554141636
4949,1704067695100000,imbalance_change,1,54.51263001611986
4971,1704067697300000,signed_liquidity_delta,-1,20.269673194881715
4985,1704067698700000,imbalance_change,1,18.207292473345984
5002,1704067700400000,imbalance_change,-1,9.47511175479491
5053,1704067705500000,imbalance_change,1,8.277386187329247
5082,1704067708400000,imbalance_change,1,37.24371647196681
5102,1704067710400000,imbalance_change,1,12.23010342539036
5116,1704067711800000,imbalance_change,-1,29.390253588175145
5130,1704067713200000,imbalance_change,-1,13.947524186518487
5144,1704067714600000,imbalance_change,-1,26.033335709534917
5163,1704067716500000,imbalance_change,1,10.302963463421152
5173,1704067717500000,imbalance_change,1,30.12049155422904
5192,1704067719400000,signed_liquidity_delta,1,6.176833010798425
5206,1704067720800000,imbalance_change,-1,13.516676137795255
5225,1704067722700000,signed_liquidity_delta,1,6.7469941864426
5253,1704067725500000,removed_liquidity,0,7.416614520645216
5269,1704067727100000,imbalance_change,1,25.138513314945307
5288,1704067729000000,signed_liquidity_delta,-1,6.195090687969098
5306,1704067730800000,signed_liquidity_delta,1,7.344281053883204
5338,1704067734000000,imbalance_change,1,9.09545939071472
5394,1704067739600000,imbalance_change,1,22.211615811225837
